# TiengVietWordsRaw.txt — Vietnamese SYLLABLE list (spaces delimit syllables, not
# words). Sources: hermitdave/FrequencyWords OpenSubtitles-2018 vi (CC-BY-SA 4.0,
# primary counts, scaled so top ~1.2M) and Vietnamese Wikipedia (CC BY-SA 4.0,
# 2026-08 dump: tail-count fallback for syllables unattested in subtitles, and the
# mid-sentence capitalization evidence behind the optional 5th field). Filtered to
# the phonotactic syllable inventory; tone spelling normalized to the traditional
# (corpus-majority) style. All surfaces lowercase; the optional 5th field seeds the
# runtime case-preference counts (lower:title) from MID-SENTENCE capitalization, so
# names like đắk present as "Đắk" first while a user's own selections can still
# flip any preference. Fields: syllable;rawFreq[;;;L:T]
hào;4579;;;3:1
mẫu;4564
sổ;4560
phận;4555
chậm;4532
no;4528;;;3:1
luận;4527
chữ;4520
khắc;4508;;;3:1
tộc;4506
cháy;4493
vận;4491
khởi;4486
dòng;4483
thang;4476
bò;4459
lưng;4457
dàng;4444
quy;4441
ngàn;4439
dị;4432
hổ;4427;;;3:1
biên;4419;;;3:1
xứng;4397
túc;4383;;;2:2
mệt;4375
giảm;4346
nhẫn;4344
bầu;4338
đào;4333;;;2:2
trải;4322
trạng;4312
ngục;4296
hầm;4292
kỷ;4292
gà;4272
tốc;4253
châu;4248;;;3:1
lỗ;4248;;;3:1
chiều;4242
tiện;4242
mê;4228;;;3:1
ừm;4218
mệnh;4194
vỡ;4189
mi;4186;;;3:1
hoang;4181
tung;4177;;;3:1
hỏa;4172;;;3:1
ám;4171
sam;4164;;;1:3
triển;4164
tặng;4144
sắc;4139
thiệt;4135
lạy;4096
sáu;4085
dương;4075;;;2:2
lùi;4068
me;4068;;;1:3
nghiên;4068
hải;4056;;;1:3
cư;4051
dao;4043;;;3:1
đệ;4043;;;2:2
chảy;4034
mũi;4029
tổn;4026
my;4024;;;1:4
sa;4021;;;2:2
tóm;4012
vinh;3989;;;2:2
dạ;3970;;;3:1
tỏ;3970
khám;3965
vĩ;3958;;;3:1
o;3953
nga;3951;;;0:4
hài;3951
toán;3940
bội;3940;;;3:1
ninh;3928;;;1:3
hứng;3926
hồng;3923;;;1:3
ống;3923
ngoan;3916
xung;3904
miễn;3897
đốc;3897
ghế;3884
vai;3865
che;3855
thưởng;3855
giọng;3854
ngược;3852
mông;3849;;;0:4
thiệu;3847;;;3:1
sông;3845
khiển;3837
bi;3832;;;3:1
niềm;3830
thẩm;3830;;;3:1
dặm;3822
chối;3811
kịch;3808
ha;3805
bụng;3793
lương;3793;;;2:2
tán;3773
phán;3771
khoản;3766
rộng;3764
sạn;3752
gió;3749
bè;3732
đốt;3727
mộ;3710;;;3:1
địch;3709
tùy;3704;;;3:1
nhẹ;3698
hấp;3695
họp;3688
thoải;3683
nối;3683
thờ;3683
chiếm;3678
dì;3675
chuột;3661;;;3:1
cập;3658;;;3:1
cắp;3656
phẩm;3645
vẽ;3636
lôi;3631
giam;3629
ghê;3606
e;3604
tạp;3589
on;3587;;;3:1
kho;3575
cản;3574
hạt;3569
hãi;3560
đâm;3553
màn;3532
nghề;3532
trụ;3523
bạo;3516
đeo;3508
cặp;3506
khiếp;3506
thí;3501
phu;3486;;;3:1
thám;3486;;;3:1
trống;3486
vớ;3486
trao;3483
lao;3471;;;3:1
thiện;3469;;;3:1
cụ;3462
cờ;3456
cứng;3454
răng;3454
thợ;3451
đế;3451;;;2:2
thảm;3442
xuyên;3424;;;3:1
canh;3422;;;3:1
mèo;3413;;;3:1
điệp;3402;;;3:1
phạt;3397
xương;3397;;;3:1
tố;3386
hò;3385
kẹt;3381
lan;3375;;;1:3
cú;3368
ngực;3368
rồng;3356;;;3:1
rồ;3354
võ;3351;;;2:2
lục;3343;;;3:1
tan;3341
dạng;3339
trăm;3338
môn;3334;;;3:1
um;3329
long;3317;;;1:4
trùng;3316
ben;3309;;;0:4
đua;3307
xã;3297
bả;3285
xưa;3265
rửa;3258
giày;3255
sóng;3250
giàu;3247
đe;3247
lãng;3238;;;3:1
trần;3238;;;1:3
khuyên;3236
hư;3235
khứ;3235
thẻ;3231
bãi;3226
cổng;3218
cóc;3216
tắc;3209
ngọn;3206
lẫn;3199
bẩn;3196
bám;3182
cãi;3172
mẽ;3172
treo;3172
cân;3169
gấp;3169
leo;3169;;;3:1
đồn;3162
cận;3160
đụng;3150
nhiệt;3140
tống;3137;;;2:2
phó;3135;;;2:2
câm;3134
tải;3128
lang;3122;;;3:1
đòi;3120
bơi;3117
trưa;3117
dần;3108
hối;3100;;;3:1
sứ;3098
thai;3098;;;3:1
lỡ;3095
cỡ;3088
hung;3085;;;3:1
bật;3083
ép;3076
đựng;3074
thấp;3073
kịp;3064
mạch;3063;;;3:1
đạt;3063
mảnh;3046
đáp;3046
chiếu;3042
ngón;3037
ấm;3037
nhiễm;3034
cởi;3021
lui;3019
rác;3015
cất;3010
khẩn;3010
nhắm;3009
mồm;3007
tước;2990
vẩn;2983
dụ;2972
chấm;2963
don;2956;;;0:4
xâm;2956
túy;2951
đậu;2935;;;1:3
dũng;2928;;;2:2
bờ;2916
ngã;2914;;;3:1
phiếu;2914
bia;2913
tuy;2913;;;3:1
nát;2911
ảo;2906
dung;2899;;;3:1
lĩnh;2891
họa;2887
mười;2886;;;3:1
kí;2877
tom;2875;;;0:4
thơ;2867;;;3:1
mưu;2864
trà;2862;;;2:2
vé;2859
xu;2843
thèm;2835
dạo;2833
lát;2833
liều;2815
ngang;2815
bếp;2811
gan;2808
chai;2806;;;3:1
căng;2796
trúng;2789
đếm;2784
đăng;2779;;;3:1
man;2778;;;1:3
dẹp;2774
niệm;2773
xóa;2766
chôn;2761
đéo;2757
góc;2756
chỉnh;2751
giáng;2744;;;2:2
làng;2742
đương;2742
dựa;2741
phức;2739
miếng;2737
hỗ;2732
bảy;2730;;;3:1
doanh;2719
thảo;2705
mưa;2703
đa;2692
ngơi;2690
tái;2690
huấn;2687
sỹ;2683;;;2:2
gác;2678
hoại;2673
chứa;2665
dầu;2663
ngắn;2660
thách;2648
nô;2644;;;3:1
cấm;2629
nấu;2628
thăng;2626;;;3:1
trăng;2619;;;2:2
nãy;2617
mô;2616
đỉnh;2612
chớ;2604
dứt;2601
sắt;2599
nông;2597;;;3:1
mù;2594
hoảng;2577
lộn;2577
sẻ;2574
bẫy;2572
mạo;2572
nâng;2572
điếm;2570;;;3:1
gương;2558
lượt;2548
ngại;2547
thổi;2542
hân;2536;;;1:3
tu;2528;;;3:1
kệ;2526
ủng;2515
thập;2511
cốc;2506;;;2:2
tuyên;2504;;;3:1
thùng;2498
trứng;2489
tuyết;2486;;;3:1
cải;2472;;;3:1
phẫu;2466
khổng;2457;;;3:1
mát;2457
ôm;2456
buôn;2452
dâm;2450
mụ;2445;;;3:1
trạm;2445;;;3:1
môi;2437
bảng;2434
lùng;2434
ngọt;2425
gấu;2420;;;3:1
cắn;2417
tả;2412
phiên;2407
đấm;2393
ho;2391;;;3:1
giành;2390
gi;2388;;;3:1
dường;2386
bệ;2385
rắn;2371;;;3:1
giãn;2363
móc;2361
bào;2343
khiêu;2343
quang;2331;;;2:2
ví;2329
quảng;2327;;;2:2
ức;2324
bão;2317
quyển;2309
vờ;2302
ghé;2300
liền;2299
mượn;2299
song;2295;;;3:1
hét;2289
tách;2284
huyết;2280
chóng;2275
lồ;2272
đớn;2272
sơn;2270;;;1:4
ngữ;2262
hạng;2257
kín;2255
chở;2246
pháo;2245
khát;2238
nhục;2226
mộng;2223;;;3:1
phỏng;2223
nguyền;2221
hòn;2219;;;3:1
hận;2219
niên;2216
suýt;2214
mũ;2214
tuyến;2214
tốn;2211;;;3:1
lông;2208
cớm;2204
cút;2198
gián;2192
kĩ;2189
ga;2186;;;3:1
hè;2184
ung;2181;;;3:1
miền;2179
tạ;2179;;;2:2
hà;2177;;;1:4
cam;2172;;;3:1
bồ;2171;;;1:4
sói;2171
cứt;2167
gắn;2167
sàn;2167
hèn;2164
muội;2164;;;3:1
ray;2155;;;2:2
chìm;2149
vãi;2147
táo;2145;;;3:1
nền;2130
trì;2130
tủ;2122
lưỡi;2117
bày;2113
trá;2110
kẹo;2105
gãy;2100
vội;2096
liệt;2088
trượt;2088
quê;2081
sữa;2081
cỏ;2079;;;3:1
kiên;2078;;;2:2
óc;2076;;;3:1
be;2068;;;2:2
buông;2061
bá;2061;;;2:2
nghiện;2059
bông;2054;;;3:1
thải;2054
kem;2052
hiến;2051;;;2:2
điệu;2049
mò;2047
vân;2047;;;1:3
bụi;2044
cát;2034;;;2:2
hương;2029;;;3:1
lô;2024;;;3:1
khuôn;2017
kháng;2005;;;3:1
cương;2002;;;3:1
ngầm;2002
nướng;2000
tri;2000;;;3:1
trừng;2000;;;3:1
khùng;1998
phe;1992
xứ;1988
tháo;1985;;;3:1
bóp;1983
khôn;1983;;;3:1
khối;1978
mì;1973
thổ;1972;;;2:2
tiệm;1968
gói;1965
gốc;1965
vây;1961
mồ;1956;;;2:2
mồi;1955
trôi;1953
mạn;1950
lầu;1948;;;3:1
manh;1948;;;3:1
ủy;1948;;;2:2
đảng;1945;;;1:3
đần;1945
mập;1936
sốt;1936
nhốt;1933
dở;1929
tỷ;1926
mỏi;1921
dâu;1919
mến;1919
giai;1918
tuân;1916;;;3:1
xoay;1912
bồi;1911
bỏng;1911
chọc;1911
tháp;1911;;;3:1
tám;1906;;;3:1
đuôi;1902
re;1901;;;3:1
ân;1899;;;2:2
go;1897;;;1:3
nhát;1896
thỉnh;1889
âu;1887;;;0:4
gởi;1886
nhảm;1884
chín;1879
kỉ;1875
pha;1874
hôi;1869
ngắm;1864
khô;1853
phái;1847
tươi;1845
nút;1842
tởm;1842
tỉ;1837
bốc;1835
hỗn;1830
hô;1828
triều;1828;;;3:1
ngôn;1826
rũ;1825
thoảng;1823
mạc;1823;;;2:2
đền;1823;;;3:1
đuối;1821
xích;1820;;;3:1
đít;1820
li;1811;;;2:2
ngũ;1811;;;3:1
by;1808;;;3:1
tang;1803;;;3:1
cạn;1798
vứt;1798
xạ;1798
tròn;1796
truyện;1786
tiêm;1781
dò;1779
vĩnh;1776;;;1:3
đạp;1776
giỡn;1774
cược;1769
nụ;1759
ruột;1746
thiếp;1740;;;3:1
hít;1737
nương;1737;;;3:1
trói;1737
đĩa;1737
giật;1734
gợi;1730
kém;1730
chăng;1725
